ID,Beta,Rho,Aniso_X,Aniso_Y,Aniso_Z,Area_Inner,Area_Outer,Total_Area,Volume,SA_Vol_Ratio,Porosity,Pore_Size
504,37.845,0.4942,56.93,42.93,87.36,10.7149,2.4711,13.1859,0.3881,33.9776,0.5081,0.1098
505,44.6212,0.6638,34.57,72.27,4.2,11.3888,3.3515,14.7402,0.5307,27.7747,0.3275,0.0927
506,39.6033,0.4672,64.74,88.86,66.66,11.1336,2.3619,13.4956,0.3637,37.1036,0.5391,0.1075
507,27.5607,0.317,57.71,35.93,74.07,6.8019,1.46,8.2619,0.2412,34.247,0.6943,0.0154
508,26.7248,0.4791,24.65,38.66,55.32,7.4996,2.3786,9.8783,0.3783,26.1134,0.5207,0.1662
509,28.1497,0.646,63.33,76.47,45.55,7.378,3.1124,10.4904,0.5031,20.853,0.3627,0.1431
510,18.8852,0.4526,15.25,58.94,18.55,5.2718,2.3787,7.6505,0.3516,21.7572,0.5543,0.0217
511,40.2839,0.6495,45.26,36.55,22.87,10.5863,3.2382,13.8245,0.5098,27.1163,0.354,0.1005
512,42.9284,0.3834,4.23,74.59,38.6,11.6084,2.0656,13.674,0.3057,44.7259,0.6125,0.1009
513,26.9231,0.6491,50.08,11.6,36.91,7.0766,3.0934,10.17,0.5136,19.8008,0.3493,0.1439
514,19.7764,0.4246,58.85,52.77,43.62,5.3902,2.1569,7.5471,0.323,23.3643,0.5906,0.019
515,17.1992,0.4242,42.97,83.32,77.37,4.6436,1.8975,6.5411,0.3101,21.0962,0.607,0.0198
516,19.1946,0.6017,46.03,87.15,12.47,5.1659,3.0366,8.2026,0.4708,17.4223,0.4036,0.191
517,17.2697,0.3207,80.65,53.94,86.81,4.3082,1.6331,5.9413,0.2405,24.6997,0.6951,0.0228
518,21.417,0.4283,9.48,43.11,55.94,5.9744,2.1907,8.1651,0.3434,23.774,0.5644,0.0202
519,19.2046,0.3858,48.93,82.53,69.31,5.1734,2.005,7.1785,0.2997,23.9527,0.6201,0.0164
520,22.3574,0.6932,4.24,49.23,33.53,5.6431,3.4791,9.1223,0.5382,16.9511,0.3179,0.2053
521,39.6714,0.487,76.46,15.17,23.24,11.089,2.4897,13.5786,0.3762,36.0948,0.5233,0.1119
522,20.6323,0.4952,85.78,58.16,89.56,5.7285,2.4315,8.16,0.3863,21.1237,0.5106,0.2085
523,29.3184,0.5282,75.41,8.48,89.44,8.1982,2.6312,10.8295,0.4181,25.9041,0.4702,0.1417
524,39.3831,0.4172,52.87,50.11,32.22,10.8601,2.1608,13.0209,0.3259,39.95,0.5869,0.1025
